Автор,Место работы автора,Специализация адресата,Содержание,Примечание,Количество слов
249,526,10,2515,0,9
816,798,10,3451,0,6
1649,383,10,756,0,8
1739,1401,5,1908,0,12
986,745,10,1355,0,6
423,48,1,2963,0,14
1025,846,5,755,0,17
1180,737,10,782,0,4
389,127,5,2749,0,8
637,1335,2,2890,0,6
1708,293,10,1986,0,7
1578,754,1,3375,0,5
1462,1305,1,3709,0,8
1357,797,10,1015,0,5
980,1124,5,3396,0,9
1123,1194,10,518,0,3
1395,357,10,310,0,3
1395,357,10,1581,0,3
405,600,10,1424,0,6
542,1176,10,1582,0,6
870,896,5,1968,0,16
358,599,9,34,0,2
384,1281,10,3445,0,6
1542,1069,1,837,0,3
555,1204,10,209,0,4
651,829,10,2864,0,3
1158,844,5,3515,141,19
1345,736,10,1353,0,4
1512,806,10,948,134,11
1180,737,9,1192,0,5
1168,203,1,2913,0,7
364,715,5,3018,0,14
980,1124,1,1493,0,20
1565,813,10,998,0,19
980,1124,9,1493,0,20
1675,829,5,3764,64,8
1394,849,5,2716,171,7
907,844,5,2871,3,8
63,320,10,203,0,8
154,240,10,537,0,8
154,240,10,2793,0,9
733,984,3,3479,0,10
1409,1205,9,518,0,3
1232,829,5,153,0,12
852,764,10,3448,0,6
913,1187,10,519,135,9
1649,383,10,3390,0,8
1555,1450,10,599,0,7
555,1204,10,3433,0,8
88,346,10,2744,0,7
656,765,10,711,0,7
1651,726,7,3718,0,14
1372,733,10,208,0,14
651,829,5,2473,0,12
624,547,5,1800,0,10
1142,777,10,499,0,8
930,1069,8,2259,0,9
1422,780,10,3170,0,5
437,271,10,371,0,11
752,750,1,3366,0,7
980,1124,10,3013,2,13
437,271,1,372,0,11
1792,1182,10,3377,0,8
704,764,10,1697,0,8
906,106,8,219,0,3
993,48,9,2610,0,3
980,1124,1,3714,0,10
850,665,5,3150,0,17
1056,1177,1,1573,58,4
810,754,10,3445,0,6
606,1048,5,3143,0,6
31,794,10,3445,0,6
1012,149,5,13,0,12
1649,383,10,518,0,3
1046,1191,9,912,233,3
1155,840,1,3714,0,10
60,638,10,1650,0,4
616,731,1,3374,0,4
170,814,10,1697,0,8
893,1192,10,536,0,5
1352,1174,5,2937,0,10
1314,452,10,1697,0,8
1579,829,5,3253,0,13
1742,1376,5,393,0,12
389,127,9,2776,0,4
616,731,5,1,0,15
1394,849,5,3535,0,12
1619,1186,10,1037,0,6
1151,328,10,1715,0,8
1554,627,10,1585,0,7
1331,342,9,35,0,6
1095,402,10,1033,0,6
1402,526,5,3583,0,12
1269,1289,9,3046,0,8
63,320,9,1839,0,10
691,1329,1,3709,0,8
1314,452,10,530,0,6
965,164,10,1224,0,6
1103,648,10,2514,196,8
1487,1428,3,921,0,4
508,1188,10,1715,0,8
1771,1190,10,3427,0,10
326,784,1,3709,0,8
616,731,10,985,0,10
1395,357,10,1578,0,8
1395,357,10,1588,0,6
437,271,10,1612,0,6
918,1197,10,528,0,6
363,751,10,2316,0,5
1695,1230,5,3038,0,6
148,1420,5,3475,0,21
278,705,1,1492,0,10
1138,571,10,3375,0,5
88,346,5,1256,0,18
810,123,5,3460,0,11
487,1191,10,520,0,4
1157,467,1,3741,0,6
387,354,1,1198,59,5
1005,618,1,491,234,5
765,777,10,2374,0,4
1046,1191,9,34,176,2
1361,19,5,3290,0,15
1282,808,10,3445,0,6
1596,734,10,3445,0,6
61,797,1,560,0,3
1727,1349,1,1733,0,9
1180,737,10,881,0,7
1649,383,10,470,0,10
1675,829,5,108,0,12
61,797,10,531,0,6
627,1198,5,3582,0,9
1205,775,1,818,0,10
186,227,3,926,194,7
1792,1182,10,1574,0,7
627,1198,1,1927,0,10
484,64,1,835,0,6
560,710,1,3714,0,10
627,1198,1,1928,0,8
1790,405,1,3709,0,8
1748,906,5,3214,74,9
555,1204,10,3391,0,7
1804,739,10,2309,0,8
506,753,10,2625,0,8
740,1266,11,2151,0,7
259,308,1,220,0,6
1537,498,10,533,0,12
608,48,5,2960,0,4
629,441,5,3291,0,13
1105,171,1,3714,0,10
868,1169,9,357,0,7
488,236,5,3620,0,10
1518,482,5,583,0,9
1318,458,1,1198,130,5
389,48,1,2541,0,20
1804,739,10,238,0,7
835,832,10,3446,0,10
624,547,9,175,0,8
1768,1172,10,2861,236,4
1028,745,10,1607,0,19
136,829,5,3513,0,15
1748,906,5,1132,0,9
1092,1047,5,422,0,8
1185,1254,1,63,0,13
207,1073,6,287,0,10
1147,1400,7,3716,0,11
313,724,5,2344,0,15
221,782,5,774,0,11
63,320,10,475,0,5
789,1144,1,3717,0,12
993,48,5,1616,0,6
154,240,10,3374,0,4
704,764,5,439,0,15
1554,627,1,3279,0,5
660,398,1,3384,0,6
9,256,9,1754,0,5
919,54,9,2967,0,21
63,320,10,748,0,3
1579,903,5,2597,0,8
1727,1349,1,3711,0,9
48,781,1,3357,0,7
1215,782,1,2636,0,10
1232,829,5,1501,0,19
1218,10,9,2401,0,8
449,529,1,3364,0,5
1491,444,6,639,0,9
446,213,1,293,0,12
777,1263,1,1025,0,8
1770,65,1,840,0,4
967,631,5,730,0,10
1232,829,5,1833,0,11
1795,810,10,1219,0,9
1694,139,5,3331,0,6
1313,116,10,3103,0,7
358,599,10,1596,0,6
1360,218,5,3412,0,12
947,381,10,1824,0,8
33,1463,5,3136,0,10
1263,1414,10,1528,0,10
463,172,5,3414,0,13
567,322,5,2482,0,16
1556,1401,3,8,0,8
919,54,5,2944,0,17
868,1169,10,480,0,6
1314,452,10,544,0,7
691,1329,9,2302,0,7
1675,791,5,2882,0,6
294,416,9,1194,193,7
993,48,5,3740,0,10
446,213,1,218,0,7
1675,831,1,2571,0,13
584,470,5,72,0,2
397,79,1,844,0,7
418,78,1,1212,0,7
1556,1401,5,1291,0,12
33,1463,5,3203,0,10
778,535,10,1656,0,4
723,1317,9,2276,0,9
308,235,2,2303,0,8
11,858,5,1858,0,10
519,871,9,1646,0,5
786,1206,1,3105,0,9
1452,1359,1,3709,0,8
15,1450,2,291,0,3
27,1136,10,1358,0,4
669,210,1,3714,0,10
1583,1361,1,1941,0,6
616,731,10,2399,0,13
29,1341,1,3709,0,8
88,346,5,94,0,15
430,693,3,1459,0,7
1314,452,1,541,0,4
263,1462,5,440,0,12
257,1396,2,2757,0,5
1556,1401,3,1934,0,6
1198,1301,1,3709,0,8
1433,653,10,2373,0,6
1249,265,1,3709,0,8
554,889,5,3237,7,13
1442,720,5,1381,0,11
767,1350,9,424,0,8
1232,829,5,275,0,7
61,797,10,529,0,6
1267,358,9,883,196,10
1648,443,9,124,0,11
1769,97,3,857,0,5
1037,614,3,1207,0,8
1157,152,10,2393,0,6
1139,441,5,1571,0,17
22,517,1,3576,0,9
675,848,5,2424,0,10
591,98,1,229,0,5
25,1043,3,3496,0,13
1795,810,10,999,0,10
535,205,5,1755,0,17
40,554,5,3201,146,12
1232,829,5,3212,0,13
157,26,5,3581,0,14
1257,99,1,837,0,3
1387,828,5,2915,145,25
219,1164,5,3437,0,24
1403,1157,5,57,0,13
562,1218,1,3714,0,10
1248,927,1,837,0,3
1733,1039,1,837,0,3
390,1011,1,837,0,3
1491,444,0,1566,0,20
1570,15,2,1614,0,5
1748,906,5,1326,0,10
926,377,5,1418,0,7
647,1368,1,3709,0,8
1168,203,1,3094,0,12
1232,829,5,1937,0,21
116,800,10,3679,0,8
1230,1431,1,644,0,6
1495,86,1,845,0,5
1675,791,3,2916,0,14
535,205,5,3096,0,13
983,133,1,1801,0,3
1433,653,5,2496,0,7
1232,829,5,802,0,20
1701,71,1,829,0,2
1788,205,5,2528,0,18
779,1222,1,2545,0,13
373,1321,1,105,0,8
651,829,0,3512,0,20
719,1283,7,3714,0,10
1721,747,1,3714,0,10
1690,694,2,77,0,7
1690,694,9,2954,0,8
1681,1207,10,2382,0,11
395,925,1,2417,0,12
280,415,9,981,0,9
823,64,1,838,0,4
11,858,5,1096,0,13
1749,907,5,2341,0,9
893,1192,10,1665,0,11
1669,826,1,3715,0,12
1433,653,10,2917,0,9
1111,192,5,299,0,12
1798,405,9,651,0,5
627,1198,1,2877,0,11
339,205,5,696,0,10
659,1266,0,3198,0,8
1213,35,0,351,0,16
478,108,1,2010,0,4
156,606,0,351,0,16
1338,783,10,1426,0,4
1339,883,5,3240,212,25
23,113,10,1362,0,4
111,1158,3,1034,184,4
61,933,1,662,0,6
386,1268,2,3709,0,8
1491,444,5,2868,0,32
687,1414,9,298,203,6
46,1229,1,3714,0,10
1640,537,1,3358,0,8
65,760,1,3358,0,8
947,381,1,3359,0,9
769,1282,1,3362,0,8
1795,1254,1,3360,0,8
700,803,1,3363,0,8
31,794,1,3361,0,8
1278,1036,1,2784,0,8
627,1198,1,2876,0,11
1111,192,11,3490,0,12
685,324,9,771,0,7
794,904,5,3645,0,9
239,561,5,3156,0,11
1118,473,5,3398,0,12
695,21,5,2290,0,8
305,739,10,410,0,5
339,205,5,2367,0,8
1179,1081,1,1183,0,5
396,1272,5,1450,0,6
329,582,5,2617,0,20
552,1384,9,1691,0,36
1130,1270,1,2543,0,7
384,1281,1,396,0,8
666,1399,1,1403,0,16
1139,441,5,2547,0,17
1185,956,1,2658,0,14
1402,526,5,1545,0,13
522,1445,5,2120,0,15
39,868,1,416,0,15
1402,526,10,399,0,11
1372,733,5,1658,0,11
395,925,1,3068,0,16
88,346,9,246,0,16
752,750,10,415,0,4
117,1243,1,3714,0,10
33,1463,1,3734,0,9
1232,829,0,117,0,19
1241,508,1,3356,0,11
61,933,1,1499,0,11
1743,1436,1,2533,0,18
110,277,5,2365,0,6
1556,1401,5,2542,148,19
1166,124,10,1727,0,3
1424,449,2,1188,0,8
854,81,5,1543,0,10
942,415,9,2869,0,9
1556,1401,5,1233,0,8
76,1295,1,2889,0,12
16,340,1,1333,0,10
901,277,5,871,0,8
906,106,8,788,0,11
466,322,1,2389,0,18
1642,85,1,320,0,5
1167,7,0,351,0,16
161,522,10,1014,0,6
538,1052,1,3714,0,10
65,760,1,3714,0,10
389,127,9,2527,0,8
1386,1167,9,3104,0,5
399,568,9,1958,0,7
1604,545,1,3714,0,10
1157,152,10,3157,0,9
1675,829,3,2875,0,9
557,975,5,3421,0,9
476,849,5,2673,170,8
476,849,5,2671,170,7
476,849,5,118,0,19
213,657,5,3191,0,9
550,920,1,216,0,6
1609,1339,1,849,0,6
835,832,10,297,0,12
812,911,8,1814,0,4
221,782,5,129,0,4
1232,829,5,3565,0,18
925,1203,5,752,0,11
481,120,1,2433,0,9
1748,906,5,870,0,8
630,1099,10,1364,196,5
1612,101,1,217,0,4
651,829,5,2622,0,11
1491,444,8,3058,0,21
1672,596,9,3057,0,7
1463,1195,10,3254,0,12
1180,737,1,2803,0,6
608,48,5,2952,0,7
1046,1191,2,34,0,2
1067,1336,9,2753,0,3
947,381,9,3089,0,3
1266,829,3,140,0,10
459,261,1,3714,0,10
1675,829,5,1845,0,16
1521,1275,0,351,0,16
389,127,5,2414,0,13
1195,439,1,3374,0,4
420,1299,9,1643,0,6
476,20,0,118,0,19
1212,92,6,3710,0,12
101,204,5,1067,0,8
116,800,10,1639,0,6
120,1135,10,3345,0,6
1675,791,5,1957,0,6
291,427,5,3121,0,18
264,1359,9,2402,0,10
1321,363,3,893,0,4
237,163,5,3197,0,8
1548,1098,1,3714,0,10
114,163,7,3386,0,14
99,1369,2,2826,0,6
1120,53,7,1141,0,6
687,1414,7,54,0,2
1808,1296,2,2754,0,4
2,27,8,1689,0,5
827,96,1,1174,0,4
909,339,3,728,0,6
1649,383,10,757,0,12
270,20,5,1540,0,16
1199,1053,5,3294,0,19
1451,690,5,1857,0,6
284,654,5,2366,0,8
810,12,5,3193,0,11
261,983,1,674,0,6
765,777,10,3708,0,7
139,1442,5,3685,0,10
821,1427,1,892,196,7
816,1151,10,1739,0,7
49,1095,1,1613,0,6
1147,1400,5,1099,0,11
1076,389,3,453,0,3
1566,1266,5,3247,0,21
715,34,9,3709,0,8
1648,447,9,1563,0,7
1209,1388,5,3298,0,12
1804,739,9,2492,0,11
1314,452,9,2355,0,7
1096,378,3,3077,0,5
1745,112,6,859,0,5
1512,806,5,1740,0,12
893,1192,9,2277,0,9
601,887,5,3442,0,11
38,1360,5,3329,222,23
608,48,5,2950,0,16
816,798,5,1392,0,26
471,841,7,3714,0,10
381,836,3,2008,0,5
1792,1439,10,3124,0,6
120,1135,10,3589,0,18
339,163,5,1206,0,9
786,1206,10,3332,0,5
1232,785,5,1205,0,5
276,369,1,45,0,9
608,48,5,2126,0,27
1678,366,1,2293,0,6
919,54,5,2237,0,5
17,64,3,831,0,3
554,493,5,211,0,10
1232,785,5,1052,0,12
567,322,10,665,0,7
476,20,5,3387,0,13
1675,829,5,750,0,13
925,1203,1,3344,0,10
893,1192,1,251,0,7
207,1073,1,1169,0,4
120,1135,5,3588,0,18
120,1135,10,3587,0,13
1675,829,5,3552,0,12
476,20,5,2672,171,9
1723,517,10,999,0,10
298,448,3,1458,0,4
1232,829,5,1939,0,7
24,802,10,3661,0,11
656,765,10,2399,0,13
899,562,5,2594,0,7
1314,452,9,753,0,5
542,1176,10,2434,0,10
1585,219,5,3383,0,12
83,609,1,1729,0,5
439,239,3,2009,0,3
1402,523,10,47,0,4
1561,837,1,121,196,4
1232,785,5,1890,0,13
1649,383,1,1512,0,5
85,157,5,1745,17,6
1395,357,9,26,0,2
1526,728,10,3683,0,9
1555,1450,2,3047,0,5
1458,123,5,2327,0,9
828,1326,2,3709,0,8
1232,829,5,1875,0,21
700,803,10,3444,0,4
715,663,1,344,0,9
698,1358,2,2405,0,13
395,925,1,2418,0,10
1433,653,11,74,0,8
1675,791,5,107,0,7
339,205,5,1720,0,17
828,1326,2,1830,0,8
1046,1191,9,918,0,7
1449,313,10,760,0,8
1345,736,10,3422,0,6
1314,452,10,920,0,8
405,600,10,1327,0,8
1512,806,9,1591,0,10
249,526,1,2387,0,6
1675,791,5,1960,0,9
116,800,10,3570,0,7
459,261,7,1770,0,5
963,260,7,1771,0,5
116,800,10,1039,0,11
422,121,5,3483,0,6
1071,730,10,2399,0,13
816,798,10,1743,0,10
1577,1240,10,1011,0,7
111,1371,1,3712,0,10
610,19,5,122,0,7
610,19,5,3199,0,9
1225,14,3,225,0,6
1513,960,1,345,0,13
925,1203,10,2390,0,13
1278,1036,1,2779,0,7
114,163,7,1779,0,5
315,203,5,1766,0,1
11,858,5,1859,0,5
1232,829,5,1899,0,11
1560,1249,10,3713,0,8
563,808,10,2375,0,6
1232,829,5,1876,0,20
64,1338,5,1455,0,4
1197,100,5,1911,0,12
786,1461,3,1177,0,13
874,48,8,2966,0,10
825,900,2,2711,0,16
110,285,5,2326,4,6
1771,1190,10,2824,0,8
481,120,10,2441,0,9
389,127,9,29,0,5
1028,745,5,2846,0,7
651,829,5,1907,0,23
1711,812,10,3378,0,11
463,172,5,350,0,6
1571,1415,1,87,0,6
61,797,10,1500,0,7
1298,1038,1,851,0,8
357,613,3,923,0,4
12,924,1,1513,0,5
982,207,1,1679,0,37
1057,1100,3,405,0,7
1445,1239,10,714,0,4
906,106,1,1247,0,7
88,346,10,2315,0,13
1422,780,5,3487,0,10
467,1189,10,3129,0,9
651,829,5,2653,0,7
723,1317,10,1005,0,5
1177,1094,5,1339,0,12
1769,97,3,934,0,4
687,1414,1,344,0,9
270,20,5,3536,143,19
1398,1372,10,999,0,10
1305,1090,6,1170,0,6
828,1326,10,999,0,10
1154,727,10,3374,0,4
1790,405,10,1006,0,7
1449,313,10,2802,0,5
1338,783,10,777,0,7
668,452,9,446,0,2
1748,906,5,1292,0,6
642,1245,5,1335,0,9
608,48,5,1490,0,25
204,891,5,355,0,15
1311,335,1,443,0,14
1180,737,1,2958,0,9
1491,444,5,1544,0,9
1202,55,1,3455,0,12
687,1414,10,945,0,11
687,1414,10,999,0,10
1395,357,10,3341,0,8
480,165,10,3343,0,8
1238,426,10,3281,0,10
860,1250,2,3250,0,8
1389,474,10,3338,0,8
1596,734,10,3342,0,8
68,498,1,344,0,9
72,516,10,2384,0,8
625,643,10,2270,0,7
627,1198,3,3167,0,12
627,1198,1,3165,0,14
627,1198,1,3166,0,17
395,925,1,380,0,11
126,814,3,939,193,6
531,1143,10,2456,0,9
476,849,5,2674,170,9
1538,163,5,1853,0,18
17,64,3,924,193,6
1382,139,5,2735,0,10
114,163,5,2301,0,14
924,382,2,442,0,7
1788,205,5,2694,0,11
339,163,5,1535,0,12
982,207,1,2095,0,9
1333,25,1,344,0,9
912,358,9,1187,196,8
912,358,9,1189,196,9
1395,357,2,1705,0,7
1597,311,2,749,0,9
241,916,10,2391,0,11
718,24,5,805,0,9
513,211,5,1308,0,11
1702,721,5,2339,0,10
1751,1025,1,346,0,11
616,731,10,2400,0,12
1319,580,5,1805,0,7
1046,1191,9,37,0,5
1276,1048,5,3644,224,15
1449,313,10,3346,0,8
198,589,1,801,0,4
436,3,1,344,0,9
1581,683,1,932,37,5
1232,829,5,1620,0,8
1232,829,5,2920,0,43
903,958,1,1411,0,5
1396,73,5,3477,0,11
1812,160,5,3659,0,10
1345,736,10,212,0,11
364,715,5,1999,0,10
1450,678,5,3289,0,7
1555,1450,10,999,0,10
818,1455,9,1836,0,5
154,240,1,2356,22,6
111,1371,9,1752,0,8
711,76,10,925,37,6
1680,686,10,932,37,5
854,82,5,2699,0,10
1243,807,10,3340,0,9
170,814,9,803,0,14
578,1095,5,1338,0,6
339,205,5,1443,0,7
1088,662,1,344,29,9
1202,55,5,1569,0,8
81,908,5,1815,0,29
835,832,10,1398,0,10
1133,1178,3,500,0,6
1133,1178,3,501,0,6
681,5,5,1797,0,8
964,1165,6,106,0,7
211,1149,5,3430,0,11
531,1143,10,2600,0,8
854,81,10,2975,0,9
1168,203,5,694,0,6
501,1219,5,2347,0,20
608,48,5,2337,0,9
1252,1151,5,364,0,13
1656,923,1,954,204,4
377,971,1,846,0,5
1745,112,6,830,0,3
694,601,1,698,0,9
1232,785,5,1831,0,9
280,415,1,46,0,8
25,1043,3,2331,195,7
207,1073,3,935,0,5
456,625,1,1474,131,9
9,254,10,2477,0,6
805,558,5,1748,0,10
770,758,10,884,0,8
1475,371,9,2378,0,8
410,1056,5,2710,0,17
280,415,9,3757,0,16
280,415,1,3758,0,11
594,1456,10,931,37,4
1201,1116,7,3111,0,3
1648,447,5,2981,0,16
1675,829,5,1345,0,22
1675,829,5,445,0,15
1442,720,5,1469,0,10
220,960,1,3008,0,7
358,599,9,937,0,10
1402,526,5,1818,0,9
270,849,5,2457,0,15
1743,1436,5,3285,0,16
1434,1160,6,3555,0,8
83,609,1,1336,0,5
116,800,10,2852,0,14
284,654,5,126,0,10
116,800,10,776,0,5
339,205,5,2994,0,12
1392,790,5,1811,154,4
1521,1275,5,3560,0,21
1232,785,5,1987,0,8
395,925,1,278,0,9
1526,728,10,2738,0,5
1723,517,5,3678,0,9
534,1375,5,3518,13,15
248,829,5,2925,228,10
1808,1296,10,999,0,10
389,48,1,2111,0,11
389,127,5,2748,0,2
1433,653,10,2830,0,5
1670,658,0,3347,0,17
1517,1054,5,1718,20,21
1028,745,10,736,0,14
1018,1308,10,999,0,10
1286,1367,10,999,0,10
642,1244,5,3231,0,12
881,304,3,1711,0,2
714,917,1,815,0,2
1563,194,3,891,0,3
1643,191,10,999,0,10
301,617,3,1567,0,2
406,917,1,2834,0,7
80,723,7,3609,0,10
185,519,10,1747,0,8
767,1350,5,999,163,10
829,230,10,1004,0,6
17,64,3,894,0,3
989,105,6,75,0,7
1757,917,10,999,0,10
299,231,9,2791,0,7
1563,194,6,853,0,6
499,1082,6,889,188,8
1056,1177,1,92,0,10
434,1417,5,3654,0,8
1675,791,5,1346,0,11
506,753,10,1087,0,7
1255,747,10,1088,0,7
1243,807,10,1086,0,7
1402,526,10,1074,0,10
608,48,1,1721,0,5
30,50,1,1772,0,3
1702,721,5,739,0,3
624,547,10,1552,0,11
790,1418,5,1332,0,15
712,566,1,837,0,3
65,760,10,1547,0,11
151,494,10,1551,0,10
185,519,10,1553,0,10
1152,764,10,1548,0,11
170,814,10,3255,0,9
1640,537,10,1993,0,7
449,529,10,1997,0,8
443,756,10,1994,0,9
1338,783,10,1550,0,12
197,499,10,1996,0,9
1232,829,5,1302,0,14
631,6,10,999,0,10
631,6,10,2667,0,7
1411,1281,10,2740,0,5
1188,1062,9,382,0,7
1265,536,10,2741,0,5
255,1065,7,51,0,2
870,896,5,3753,0,10
1363,370,3,228,0,6
700,803,10,2743,0,5
72,516,10,723,0,10
616,731,10,2741,0,5
1624,1118,10,2739,0,5
170,814,10,3161,0,9
527,799,10,2031,0,12
161,522,10,1992,0,10
1515,727,10,2002,0,7
563,808,10,736,0,14
247,1175,10,2388,0,5
24,802,10,1081,0,11
769,1282,10,1082,0,10
795,796,10,1083,0,10
264,1359,10,1010,0,10
146,1336,10,999,10,10
169,1221,10,999,0,10
1395,357,10,3443,0,3
1395,357,10,1995,0,9
1648,447,5,67,129,10
1075,869,3,3256,0,9
1743,1436,9,3286,0,31
1804,739,10,1995,0,9
1563,194,1,837,0,3
831,531,10,999,0,10
1512,806,10,814,0,13
249,740,10,3444,0,4
770,758,7,3111,0,3
389,127,5,2752,0,5
854,81,10,2976,0,6
11,858,5,1917,144,18
877,286,2,254,0,7
119,794,10,1998,0,9
849,516,1,59,0,4
1788,205,5,2561,0,12
656,765,10,1549,0,8
1748,906,5,2329,0,9
1458,123,5,2068,0,9
29,1341,9,2814,0,6
1275,454,9,1723,177,9
886,1277,5,3239,150,20
1529,1256,10,1009,0,9
1725,1462,10,1009,0,9
1203,1133,1,3609,0,10
342,242,10,999,0,10
498,1342,10,434,0,10
498,1342,10,999,0,10
1109,1331,10,999,0,10
1074,830,5,2572,0,10
1018,1308,10,412,0,5
1675,829,5,1923,0,11
849,516,9,2525,0,7
373,1321,10,999,0,10
1193,130,10,456,0,6
1418,208,5,61,0,19
270,849,5,3520,0,24
1433,653,10,1068,0,12
1433,653,3,1032,0,10
549,814,10,2428,0,7
1748,906,5,1299,0,8
1719,603,10,1008,0,9
1188,1062,10,1007,0,9
1723,517,1,2410,0,10
244,572,1,2410,0,10
1734,1352,1,1352,0,9
898,647,3,3745,0,9
1071,730,3,3746,0,9
1675,791,5,1041,0,14
770,758,3,3744,0,9
651,791,5,1431,0,14
1775,752,5,3209,0,13
72,516,10,2905,0,14
1275,454,9,1592,0,5
436,3,5,1252,0,8
331,86,6,864,0,10
1590,1141,3,2649,0,11
313,724,5,3020,0,8
380,724,7,3609,0,10
1103,648,10,1810,0,9
1387,828,5,3200,0,17
1056,1177,1,2899,0,7
209,1035,5,3031,230,8
982,207,1,1448,0,17
786,1206,1,1973,0,2
1255,747,10,736,0,14
147,1123,5,1953,0,6
609,1115,7,3111,0,3
1763,439,7,3609,0,10
128,1112,7,3111,0,3
485,153,7,3111,0,3
389,127,5,65,0,5
651,791,5,1884,0,11
400,555,5,1363,0,6
1069,1124,1,2410,0,10
270,20,5,2940,0,12
395,925,1,379,0,5
700,803,10,736,0,14
1753,31,1,1400,0,6
1812,160,5,2113,0,7
270,20,5,2661,0,11
835,832,10,2914,0,11
115,331,5,253,0,15
280,415,3,827,60,5
843,1341,10,1014,69,6
169,1221,10,2307,0,13
203,792,5,341,0,9
1795,810,3,995,0,7
88,348,5,2632,0,10
110,277,5,2338,0,8
1591,673,1,2760,0,7
1717,1047,5,1389,0,4
357,613,3,3,0,4
1105,171,1,1531,0,10
1179,1081,6,858,1,4
1701,71,6,911,0,2
1175,66,6,855,0,5
1349,744,3,1696,0,8
683,418,1,224,0,7
875,1357,4,2066,0,15
1433,653,3,1696,0,8
785,67,6,1175,0,4
1569,685,10,1359,0,5
1141,1266,0,781,0,8
854,81,10,1484,0,9
1316,446,0,3441,0,5
651,791,5,1873,0,9
1721,747,1,2410,0,10
651,791,5,1051,142,9
576,955,1,1115,0,6
563,808,3,1696,0,8
1420,853,5,2907,0,17
1207,1086,6,2410,0,10
1243,807,10,572,0,11
1359,748,3,1696,0,8
608,48,1,1826,0,15
830,1171,6,2410,0,10
1338,783,3,1696,0,8
803,538,3,1696,0,8
1203,1133,1,2410,0,10
694,601,9,808,0,6
476,20,9,1313,0,11
1021,526,5,2804,0,7
1723,517,10,572,0,11
612,846,1,2410,0,10
489,1040,5,3729,0,14
1097,1027,1,1710,0,6
1289,724,1,3689,0,3
65,760,5,3283,0,9
665,163,5,1789,0,6
651,791,5,1873,140,9
1440,301,9,2306,0,6
1675,791,5,2463,0,12
1249,265,9,2727,0,7
65,760,1,2410,0,10
585,540,1,2410,0,10
621,922,6,76,0,10
188,796,4,3609,0,10
789,1144,1,305,0,11
569,746,1,2410,0,10
229,502,1,172,0,11
1711,812,3,1696,0,8
253,752,3,1340,0,10
270,849,5,3527,0,17
116,800,6,3578,0,7
966,818,1,2410,0,10
1232,785,5,3370,0,8
1263,886,9,255,0,11
887,163,1,2410,0,10
687,1414,10,1595,0,10
1215,782,3,2498,0,3
467,1189,8,571,0,4
1795,810,10,1354,0,6
1711,812,10,3444,0,4
428,546,10,3011,0,7
1120,53,5,876,54,5
147,511,5,2066,0,15
147,511,4,3609,0,10
88,346,9,1530,0,5
795,796,3,996,0,7
1242,515,3,994,0,5
1493,1429,1,955,223,4
476,20,5,3319,0,12
1761,751,3,994,0,5
88,346,10,2291,0,13
1054,804,4,3609,0,10
1232,785,5,462,0,10
1136,1047,5,960,0,11
855,1466,5,959,0,9
