Автор,Место работы автора,Адресат,Специализация адресата,Содержание,Примечание
Костенко М.А.,Министерство образования и науки Алтайского края,Уразов Р.Н.,Генеральный директор,участ региональн сесс час алтайск кра рамк московск международн салон 11 апр 2019 13.00 москв, 
Никитина О.Н.,Министерство образования Красноярского края,Глушко Д.Е.,Специалист по региональным чемпионатам,внесен изменен заявк проведен дэ, 
Потехина И.П.,Министерство просвещения Российской Федерации,Уразов Р.Н.,Генеральный директор,предоставлен документ заключен соглашен предоставлен субсид союз обеспечен проведен аттестац обуча программ спо использован механизм дэ реализац проект билет будущ,срок 6 апрел письм присла 5 апр 19:48 эл. почт
Коротков А.Н.,"Министерство образования,науки и молодежной политики Нижегородской области",Глушко Д.Е.,Специалист по региональным чемпионатам,участ проект билет будущ 2019 г, 
Наркевич И.А.,Санкт-Петербургский химико-фармацевтический университет,Антонов Ю.В.,Административный директор,участ чемпионат мир профессиональн мастерств WorldSkills Kazan 2019, 
Жуков А.В.,Правительство Новосибирской области,Крайчинская С.Б.,Вопросы повышения квалификации,направлен протокол заседан рабоч групп государствен совет направлен образован наук, 
Чуйкова В.С.,"Фонд поддержки талантливой молодежи ""Будущие Лидеры""",Уразов Р.Н.,Генеральный директор,организац встреч обсужден вариант сотрудничеств сфер организац обучен гражда предпенсион возраст, 
Панкова Н.В.,"ФГБОУ ВПО ""Санкт-Петербургский торгово-экономический институт""",Антонов Ю.В.,Административный директор,участ миров чемпионат спбпу, 
Васильева О.Ю.,Министерство просвещения Российской Федерации,Уразов Р.Н.,Генеральный директор,-приказ проведен внепланов комбинирова аудиторск проверк, 
Шульгинов Н.Г.,"ПАО ""РусГидро""",Аштаева К.Д.,Административный директор,участ чемпионат мир профессиональн мастерств WorldSkills Kazan 2019 дрп исп. аштаев к.д, 
Бучкова Т.В.,Ямало-ненецкий автономный округ,Глушко Д.Е.,Специалист по региональным чемпионатам,выражен благодарн совместн работ рамк мероприят арктическ образовательн форум, 
Карпов Е.А.,Владимирский государственный университет им. Столетовых,Антонов Ю.В.,Административный директор,участ чемпионат мир профессиональн мастерств WorldSkills Kazan 2019, 
Жирнов Д.О.,Министерство образования и молодежной политики Ставропольского края,Митькина А.Н.,Административный директор,участ чемпионат мир профмастерств ставропольск кра, 
Шевченко И.К.,Южный федеральный университет,Уразов Р.Н.,Генеральный директор,участ торжествен церемон открыт отборочн чемпионат, 
Дулинов М.В.,РАНХиГС Федеральный институт развития образования,Уразов Р.Н.,Генеральный директор,участ дискусс квалификац : идет реч закон образован 10.04.19, 
Горбатов Д.А.,"Общество с ограниченной ответственностью ""Вега""",Желковский И.И.,Административный директор,оплат покрасочн камер Airlung D1 договор 202/226/2018 21.12.18, 
Акопян А.Б.,"ГОУВПО ""Санкт-Петербургский государственный морской технический университет""",Глушко Д.Е.,Специалист по региональным чемпионатам,подач заявлен прием ассоциирова член союз, 
Панова О.О.,"ГБОУ ДПО Республики Крым ""Крымский центр развития профессионального образования""",Глушко Д.Е.,Специалист по региональным чемпионатам,прием дополнительн заявок субъект российск федерац проведен демонстрацион стандарт ворлдскилсс росс качеств практическ част профессиональн экзам независим оценк квалификац сфер гостеприимств 2019 год, 
Незговорова М.В.,Комсомольск-на-Амуре авиационный завод имени Ю.А.Гагарина,Митяева И.В.,Административный директор,направлен подписа акт сверк кнааз им.гагарин, 
Король А.М.,Министерство образования и науки Хабаровского края,Глушко Д.Е.,Специалист по региональным чемпионатам,подписан соглашен сотрудничеств проект билет будущ хабаровск кра, 
Соляников Ю.В.,Комитет по образованию Правительства Санкт-Петербурга,Митькина А.Н.,Административный директор,организац авиаперевозк организова групп посетител миров чемпионат спб, 
Чалая Е.Е.,Государственное автономное профессиональное образовательное учреждение Мурманской области «Кандалакшский индустриальный колледж»,Глушко Д.Е.,Специалист по региональным чемпионатам,направлен пакет документ аккредитац цпдэ мо кик, 
Короткова А.Ю.,Министерство образования и молодежной политики Камчатского края,Глушко Д.Е.,Специалист по региональным чемпионатам,направлен соглашен сотрудничеств сотрудничеств рамк проект билет будущ камчатск кра, 
Ганьшин И.Н.,Министерство науки и высшего образования РФ,Уразов Р.Н.,Генеральный директор,-о направлен протокол заседан оргкомитет московск международн салон образован 2019г, 
Автющенко Н.А.,"БПОУ ОО ""Орловский реставрационно-строительный техникум""",Тымчиков А.Ю.,Сертификация экспертов WS,выполнен требован регламентир документ союз руководител компетенц реставрац произведен дерев, 
Добрынина О.Ю.,"СПбГБПОУ ""Реставрационно-художественный колледж""",Тымчиков А.Ю.,Сертификация экспертов WS,-о рассмотрен вопрос работ презентацион компетенц реставрац произведен дерев, 
Хлопотных М.Б.,Министерство просвещения РФ,Уразов Р.Н.,Генеральный директор,проведен внепланов комбинирован аудиторск проверк 5-19 апрел 2019 год, 
Азанов М.В.,ГАПОУ «Краевой политехнический колледж»,Глушко Д.Е.,Специалист по региональным чемпионатам,направлен софронов м.и. участ работ площадок методическ слет рамк отборочн соревнован, 
Потехина И.П.,Министерство просвещения Российской Федерации,Уразов Р.Н.,Генеральный директор,предоставлен документ заключен соглашен предоставлен субсид союз аттестац обуча программ спо доработа фэ повышен квалификац преподавател, 
Парамонов А.,Министерство иностранных дел Российской Федерации,Уразов Р.Н.,Генеральный директор,-о содейств приглашен президент франц чемпионат мир казан, 
Калинкевич Е.Г.,Москоский финансово-юридический университет МФЮА,Антонов Ю.В.,Административный директор,участ чемпионат мир профессиональн мастерств WorldSkills Kazan 2019, 
Горшков Г.С.,Московский информационно-технологический университет-Московский архитектурно-строительный институт,Антонов Ю.В.,Административный директор,участ чемпионат мир профессиональн мастерств WorldSkills Kazan 2019, 
Абрамов Э.Н.,Правительство Курганской области Департамент образования и науки Курганской области,Уразов Р.Н.,Генеральный директор,предоставлен доступ цифров платформ вср кабинет руководител, 
Гимазутина Л.Н.,Министерство образования и науки Республики Хакасия,Глушко Д.Е.,Специалист по региональным чемпионатам,участ проект билет будущ 2019 г, 
Потехина И.П.,Министерство просвещения Российской Федерации,Уразов Р.Н.,Генеральный директор,участ совещан вопрос обсужден делов программ мч казан 2019 подготовк прием чрезвычайн полномочн посл 5 апр 2019 москв 13.00, 
Грешилова И.А.,Институт развития образования Забайкальского края,Глушко Д.Е.,Специалист по региональным чемпионатам,отказ участ ос компетенц медицинск социальн уход, 
Алиханов А.А.,Губернатор Калининградской области,Уразов Р.Н.,Генеральный директор,вхожден соста подгрупп поддержк промышлен экспорт выход нов рынк рабоч групп государствен совет росс направлен промышлен ____ распоряжен президент росс 27.12.2018 № 404-рп, 
Кадыров А.Р.,"АНО ""Дирекция спортивных и социальных проектов""",Уразов Р.Н.,Генеральный директор,согласован межведомствен план реагирован, 
Смирницкая М.В.,Департамент образования города Москвы,Миронова С.В.,Административный директор,участ чемпионат мир профессиональн мастерств стандарт ворлдскиллс WorldSkills Kazan 2019, 
Лейбович А.Н.,Национальное агентство развития квалификации,Уразов Р.Н.,Генеральный директор,участ совещан обм опыт формирован квалификацион требован замещен должност государствен гражданск служб фго 5 апрел 2019г, 
Ляшук З.В.,"АНО ""Новгородская техническая школа""",Тымчиков А.Ю.,Сертификация экспертов WS,рассмотрен эскизн проект объет капитальн строительств, 
Комлев Н.В.,Ассоциация предприятий компьютерных и информационных технологий,Уразов Р.Н.,Генеральный директор,направлен отзыв проект актуализирова профстандарт адрес апк, 
Скок Т.А.,ФГОУ СПО «Курганский государственный колледж»,Глушко Д.Е.,Специалист по региональным чемпионатам,отказ участ вавилов н.и. отборочн соревнован, 
Цуров М.Т.,ГБПОУ Северо-Кавказский топливно-энергетический коолледж им. Т.Х. Цурова,Глушко Д.Е.,Специалист по региональным чемпионатам,приглашен отборочн соревнован участ фнч республик ингушет, 
Касьянова Т.А.,"АО ""2К""",Уразов Р.Н.,Генеральный директор,направлен информац принят иск решен суд ; перечн обязательств платеж ; оценк налич обязательств, 
Касьянова Т.А.,"АО ""2К""",Уразов Р.Н.,Генеральный директор,получен информац возможн недобросовестн действ заполнен анкет, 
Касьянова Т.А.,"АО ""2К""",Уразов Р.Н.,Генеральный директор,направлен информац подтвержден соблюден требован фз №273-фз 25.12.19 отсутств возможн недобросовестн действ, 
Касьянова Т.А.,"АО ""2К""",Уразов Р.Н.,Генеральный директор,предоставлен информац основн аудиторск процедур союз, 
Касьянова Т.А.,"АО ""2К""",Уразов Р.Н.,Генеральный директор,предоставлен информац возможн процедур применя союз цел содейств предупрежден обнаружен несоблюден закон нормативн акт, 
Касьянова Т.А.,"АО ""2К""",Уразов Р.Н.,Генеральный директор,предоставлен перечн связа сторон такж информац бенефициарн владельц, 
Касьянова Т.А.,"АО ""2К""",Уразов Р.Н.,Генеральный директор,предоставлен письмен информац относительн лиц отвеча корпоративн управлен част надзор процесс подготовк бухгалтерск отчетн, 
Касьянова Т.А.,"АО ""2К""",Уразов Р.Н.,Генеральный директор,предоставлен заявлен подтвержден полнот представлен союз информац, 
Колесников В.С.,ГБОУ г. Москвы Школа № 2120,Глушко Д.Е.,Специалист по региональным чемпионатам,организац отборочн национальн соревнован компетенц технолог композит, 
Ипанов Д.А.,"ООО ""Вектор групп""",Мухаметзянов Д.Ф.,Административный директор,претенз оплат задолжен договор № 202/230/2018 24.12.19, 
Чукин М.В.,Магнитогорский государственный технический университет им.Г.И.Носова,Тымчиков А.Ю.,Сертификация экспертов WS,заявк аккредитац цпдэ кирпичн кладк магнитогорск государствен техническ университет им.носов, 
Чукин М.В.,Магнитогорский государственный технический университет им.Г.И.Носова,Тымчиков А.Ю.,Сертификация экспертов WS,заявк аккредитац цпдэ веб-дизайн магнитогорск государствен техническ университет им.носов, 
Курдюмов Д.А.,Правительство Кировской области,Миронова С.В.,Административный директор,участ чемпионат мир профмастерств ворлдскиллс казан 2019г. кировск област, 
Губайдуллин Э.Ф.,"Автономная некоммерческая организация ""Центр развития профессиональных компетенций""",Тымчиков А.Ю.,Сертификация экспертов WS,сборн республик татарста профессиональн мастерств, 
Трусенева С.С.,Министерство образования Калининградской области,Митькина А.Н.,Административный директор,участ миров чемпионат калининградск област, 
Поминов А.И.,Министерство образования и науки Республики Татарстан,Глушко Д.Е.,Специалист по региональным чемпионатам,участ актерск программ, 
Горностаева И.В.,Министерство образования и молодежной политики Магаданской области,Митькина А.Н.,Административный директор,организац авиаперевозк организова групп посетител миров чемпионат, 
Делаини М.,ООО ФАНУК,"Недоспасова О.В.
Никул Е.В.",Административный директор,партнерств спонсорств чемпионат компетенц промышлен робототехник, 
Мугутдинова И.,Министерство труда и социального развития Республики Дагестан,Митькина А.Н.,Административный директор,участ миров чемпионат республик дагеста, 
Васильева Т.В.,Департамент образования города Москвы,Глушко Д.Е.,Специалист по региональным чемпионатам,проект письм участ проект билет будущ 2019 г. москв, 
Кузнецова А.Г.,Министерство образования и науки Хабаровского края,Глушко Д.Е.,Специалист по региональным чемпионатам,участ проект билет будущ хабаровск кра, 
Цуров М.Т.,ГБПОУ Северо-Кавказский топливно-энергетический коолледж им. Т.Х. Цурова,Глушко Д.Е.,Специалист по региональным чемпионатам,командирован иванюк л.а. участ отборочн соревнован республик ингушет, 
Шкловец И.И.,Федеральная служба по труду и занятости,Уразов Р.Н.,Генеральный директор,предоставлен информац роструд реализац мероприят организац профессиональн обучен дпо лиц предпенсион возраст, 
Мирова С.А.,Министерство образования Сахалинской области,Глушко Д.Е.,Специалист по региональным чемпионатам,направлен соглашен билет будущ сахалинск област, 
Денисов М.С.,"АНО ""Дирекция спортивных и социальных проектов""",Саликова К.В.,Административный директор,согласован транспортн план фина VII национальн чемпионат молод профессионал ворлдскиллс росс 2019 год г.казан, 
Мугутдинова И.,Министерство труда и социального развития Республики Дагестан,Уразов Р.Н.,Генеральный директор,командирован д. глушк а. тымчиков участ совещан обсужден перспект развит движен вс республик дагеста 19-21 апр 2019, 
Петросова Е.В.,Министерство образования Пензенской области,Глушко Д.Е.,Специалист по региональным чемпионатам,контакт ркц пензенск област, 
Губайдуллин Э.Ф.,"Автономная некоммерческая организация ""Центр развития профессиональных компетенций""",Уразов Р.Н.,Генеральный директор,региональн чемпионат компетенц специалист эксплуатац обслуживан многоквартирн дом, 
Карасев П.А.,"ФГБОУ ВО ""РЭУ им. Г.В. Плеханова""",Куколев С.В.,Вопросы аккредитации,согласован проведен вузовск чемпионат стандарт ворлдскиллс, 
Шатило Г.С.,"ГАПОУ Мурманской области ""Мурманский индустриальный колледж"" - Региональный координационный центр",Глушко Д.Е.,Специалист по региональным чемпионатам,предоставлен счет акт выполнен работ ассоциирова членств, 
Федорова А.Н.,Министерство образования и молодежной политики Чувашской республики,Митькина А.Н.,Административный директор,участ мч казан 2019 урр, 
Сумской Д.А.,"ФГАОУ ВПО ""Северо-Кавказский федеральный университет""",Антонов Ю.В.,Административный директор,участ чемпионат мир профессиональн мастерств WorldSkills Kazan 2019, 
Семенова Н.В.,Министерство образования и науки Ульяновской области,Глушко Д.Е.,Специалист по региональным чемпионатам,направлен заявк проведен дэ нок, 
Минина В.В.,Правительство Новгородской области,Уразов Р.Н.,Генеральный директор,участ открыт отборочн соревнован новгородск област 9 апр 2019, 
Осокина Е.Г.,Региональный координационный центр в Вологодской области,Глушко Д.Е.,Специалист по региональным чемпионатам,замен участник ос, 
Скок Т.А.,ГБПОУ «Курганский государственный колледж»,Глушко Д.Е.,Специалист по региональным чемпионатам,вх- участ ос, 
Скок Т.А.,ГБПОУ «Курганский государственный колледж»,Глушко Д.Е.,Специалист по региональным чемпионатам,отказ участ ос, 
Дамбаева Б.Б.,Институт развития образования Забайкальского края,Глушко Д.Е.,Специалист по региональным чемпионатам,невозможн представ компетенц дошкольн воспитан ос, 
Захарова И.,Региональный координационный центр Белгородской области,Глушко Д.Е.,Специалист по региональным чемпионатам,отказ участ ос компетенц дошкольн воспитан, 
Лейбович А.Н.,Национальное агентство развития квалификации,Уразов Р.Н.,Генеральный директор,предоставлен предложен приоритетн мероприят развит национальн систем квалификац треб дополнительн финансов поддержк числ средств федеральн бюджет, 
Горбунова Т.С.,"Институт образования Омской области ""БОУ ДПО ИРООО"" г. Омск",Тымчиков А.Ю.,Сертификация экспертов WS,аккредитац цпдэ, 
Грушихин А.М.,Управление образования и науки Липецкой области,Глушко Д.Е.,Специалист по региональным чемпионатам,участ проект билет будущ 2019 г, 
Угрюмов Н.Ю.,"ПАО ""Арсеньевская авиационная компания ""Прогресс"" им. Н.И. Сазыкина""",Митяева И.В.,Административный директор,направлен акт сверк, 
Зенин А.В.,Региональный координационный центр в Рязанской области,Глушко Д.Е.,Специалист по региональным чемпионатам,внесен корректировк участник ос, 
Картошкин С.А.,Министерство просвещения Российской Федерации,Глушко Д.Е.,Специалист по региональным чемпионатам,согласован методическ рекомендац, 
Пашков К.А.,Министерство транспорта Российской Федерации,Уразов Р.Н.,Генеральный директор,участ совещан вопрос достижен оптимальн объемн ценов характеристик перевозок участник гост мч казан 2019 11 мар 2019 15.00 москв,письм получ 01.04.2019 почт росс
Сафонова Г.И.,Министерство образования Оренбургской области,Глушко Д.Е.,Специалист по региональным чемпионатам,направлен соглашен билет будущ, 
Томских А.А.,"Министерство образования, науки и молодежной политики Забайкальского края",Глушко Д.Е.,Специалист по региональным чемпионатам,направлен дорожн карт внедрен региональн стандарт кадров обеспечен рост забайкальск кра,передач уфимцеву/дмитриев
Петросова Е.В.,Министерство образования Пензенской области,Тымчиков А.Ю.,Сертификация экспертов WS,направлен пакет документ аккредитац цпдэ, 
Песошин А.В.,Аппарат Кабинета Министров Республики Татарстан,"Носков К.Ю.
Попова А.Ю.
Кочнев Д.В.
Алешин А.В.
Колобков П.А.
Колокольцев В.А.
Золотов В.В.
Булавин В.И.
Бортников А.В.
Чайка Ю.Я.
Скворцова В.И.
Зиничев Е.Н.
Шойгу С.К.
Васильева О.Ю.
Дитрих Е.И.
Кобылкин Д.Н.
Уразов Р.Н.
Нарышкин С.Е.
Нерадько А.В.
Чиханчин Ю.А.
Кудрин А.Л.
Лавров С.В
Бастрыкин А.И.
Коновалов А.В.",Административный директор,согласован проект концепц комплексн план обеспечен безопасн, 
Горовой А.В.,Министерство внутренних дел Российской Федерации,Уразов Р.Н.,Генеральный директор,состав межведомствен оперштаб обеспечен безопасн правопорядк период подготовк проведен миров чемпионат казан 2019 год, 
Минина В.В.,Правительство Новгородской области,Саликова К.В.,Административный директор,оказан содейств ревизирован предварительн смет такж предоставлен техническ характеристик предъявля площадк включен перечен компетенц проведен фнч 2021 год велик новгород, 
Фатеев А.Е.,Министерство общего и профессионального образования Ростовской области,Глушко Д.Е.,Специалист по региональным чемпионатам,направлен заявк проведен демонстрацион стандарт ворлдскилсс росс качеств практическ част профессиональн экзам независим оценк квалификац сфер гостеприимств 2019 год, 
Минина В.В.,Правительство Новгородской области,Тымчиков А.Ю.,Сертификация экспертов WS,оказан содейств ревизирован предварительн смет такж предоставлен техническ характеристик предъявля площадк включен перечен компетенц проведен фнч 2021 год велик новгород, 
Черноскутова И.А.,Министерство просвещения Российской Федерации,Уразов Р.Н.,Генеральный директор,экспертиз перечн професс специальн спо возможн коротк срок,исп. минпросвещен попов татья сергеевн
Скляр А.В.,Министерство труда и социальной защиты Российской Федерации,Уразов Р.Н.,Генеральный директор,рассмотрен проект профессиональн стандарт специалист работ молодеж,приложен CD-диск
Луговенко В.В.,Министерство транспорта Российской Федерации,Уразов Р.Н.,Генеральный директор,согласован пакет документ рамк конкурс лучш водител автобус,03.04.19-приложен переда трофимов
Андрейчук Е.В.,"ГАУ ДПО ""Учебный центр подготовки кадров для края""",Глушко Д.Е.,Специалист по региональным чемпионатам,внесен изменен список эксперт отборочн соревнован томск област, 
Белоусов А.Е.,Бурятский республиканский индустриальный техникум,Глушко Д.Е.,Специалист по региональным чемпионатам,замен участник поведен итог год рамк отборочн соревнован, 
Белоусов А.Е.,Бурятский республиканский индустриальный техникум,Глушко Д.Е.,Специалист по региональным чемпионатам,снят заявк участ отборочн соревнован навык мудр бабиков а., 
Кондаков А.М.,"ООО ""Мобильное Электронное Образование""",Крайчинская С.Б.,Вопросы повышения квалификации,участ работ экспертн совет экспертн групп модел компетенц цифров экономик, 
Смирнова Н.Е.,Региональный координационный центр в Санкт-Петербурге,Тымчиков А.Ю.,Сертификация экспертов WS,замен участник ос, 
Потехина И.П.,Министерство просвещения Российской Федерации,Уразов Р.Н.,Генеральный директор,внедрен проект региональн стандарт кадров обеспечен промышлен рост поручен № ог-п8-2075 11.04.2019, 
Ларина Т.М.,Министерство образования и науки Мурманской области,Глушко Д.Е.,Специалист по региональным чемпионатам,участ проект билет будущ мурманск област, 
Лурье О.П.,Региональный координационный центр Республики Карелия,Глушко Д.Е.,Специалист по региональным чемпионатам,замен участник отборочн соревниван компетенц сварочн технолог парикмахерск искусств,письм 01.04.19
Цуров М.Т.,ГБПОУ Северо-Кавказский топливно-энергетический коолледж им. Т.Х. Цурова,Глушко Д.Е.,Специалист по региональным чемпионатам,участ отборочн соревнован компетенц спасательн работ республик ингушет, 
Усынина Т.В.,ЧОУ ВО «Международный Институт Дизайна и Сервиса»,Глушко Д.Е.,Специалист по региональным чемпионатам,зачтен результат демэкзам зарчуков а.о. суксин э.в, 
Зенин А.В.,Региональный координационный центр в Рязанской области,Глушко Д.Е.,Специалист по региональным чемпионатам,участ представител рязанск област отборочн соревнован компетенц предпринимательств, 
